id,origin_x,origin_y,destination_x,destination_y,start,end,duration,priority,vehicle_type,volume,weight
E001,10.5,20.3,15.2,25.4,09:00,12:00,30,3,1,2.5,10
E002,12.1,18.7,15.2,25.4,08:30,11:30,25,4,2,1.8,8
E003,9.8,22.5,30.1,10.5,10:00,14:00,45,2,1,3.2,15
E004,5.6,15.3,12.1,18.7,08:00,10:30,20,5,3,1.0,5
E005,7.5,14.1,9.0,17.2,07:45,09:45,30,2,1,2.0,9
E006,11.2,19.8,14.0,24.3,11:00,14:30,40,1,2,3.5,12
E007,13.4,17.9,20.5,30.2,09:15,13:15,35,5,2,2.2,7
E008,6.3,13.7,8.5,19.0,07:30,10:00,25,3,1,1.5,6
E009,8.1,21.5,17.4,25.6,10:30,13:30,50,4,3,4.0,20
E010,4.8,16.2,11.0,19.8,08:15,11:15,30,2,1,2.8,11
