ID Entrega,ID Vehiculo,Litros de Combustible Usados,Distancia Recorrida (KM),Inicio del Viaje,Fin del Viaje
D006,V003,2.89,24.05,09:00,12:00
D012,V004,3.18,17.65,10:00,12:00
D020,V005,5.69,31.60,08:30,12:00
D001,V004,4.68,25.99,10:30,13:00
D008,V002,6.04,33.58,09:00,13:00
D005,N/A,N/A,N/A,N/A,N/A
D011,N/A,N/A,N/A,N/A,N/A
D002,V005,5.77,32.07,08:00,13:30
D014,N/A,N/A,N/A,N/A,N/A
D009,V002,6.86,38.13,09:00,14:00
D004,V001,2.93,24.41,11:00,14:00
D017,V001,2.79,23.26,11:30,14:00
D019,V004,6.64,36.90,10:30,14:00
D003,N/A,N/A,N/A,N/A,N/A
D010,V004,5.61,31.17,11:30,14:30
D007,N/A,N/A,N/A,N/A,N/A
D015,V001,3.14,26.16,11:30,15:30
D018,N/A,N/A,N/A,N/A,N/A
D013,V005,7.84,43.57,11:00,16:00
D016,N/A,N/A,N/A,N/A,N/A
