ID Entrega,ID Vehiculo,Litros de Combustible Usados,Distancia Recorrida (KM),Inicio del Viaje,Fin del Viaje
D001,V010,5.97,33.14,10:30,13:00
D002,V007,5.92,39.45,08:00,13:30
D003,V006,6.01,33.37,11:00,14:00
D004,V010,5.03,27.95,11:00,14:00
D005,V006,8.07,44.82,09:00,13:30
D006,V004,3.47,23.14,09:00,12:00
D007,V005,4.65,25.85,08:00,15:00
D008,V005,5.54,30.75,09:00,13:00
D009,V001,5.51,30.59,09:00,14:00
D010,V001,6.11,33.93,11:30,14:30
D011,V004,4.85,32.36,08:30,13:30
D012,V002,4.34,24.10,10:00,12:00
D013,V008,4.58,30.51,11:00,16:00
D014,V008,4.25,28.35,08:30,13:30
D015,V004,3.73,24.88,11:30,15:30
